method,percentage,value,change
random,0.0,198.4256970769555,3.828699126506536e-11
random,0.05,188.69017244285666,-4.906382982366869
random,0.1,178.9367899242284,-9.821765748969591
random,0.15000000000000002,169.0929688838075,-14.782726544590211
random,0.2,159.50158227848073,-19.616468719430905
random,0.25,149.81202895138293,-24.499683680920295
random,0.30000000000000004,139.88848608939412,-29.50082164247371
random,0.35000000000000003,129.91834094603544,-34.52544561519221
random,0.4,120.19313860393534,-39.42662650323621
random,0.45,110.50724536450814,-44.307996901382985
random,0.5,100.58717494272575,-49.30738486772027
random,0.55,90.51654194809139,-54.38265139972219
eigenvector,0.0,198.4256970768569,-1.1401588120835027e-11
eigenvector,0.05,137.14423694193374,-30.883832607226488
eigenvector,0.1,110.51937111514798,-44.30188592341065
eigenvector,0.15000000000000002,106.49649160227163,-46.3292843764032
eigenvector,0.2,106.4964916022852,-46.32928437639636
eigenvector,0.25,106.49649160221014,-46.329284376434195
eigenvector,0.30000000000000004,106.49649160226275,-46.32928437640767
eigenvector,0.35000000000000003,106.49649160213808,-46.329284376470504
eigenvector,0.4,106.49649160224976,-46.32928437641423
eigenvector,0.45,106.49649160222143,-46.3292843764285
eigenvector,0.5,106.49649160208199,-46.32928437649878
eigenvector,0.55,105.90877991208734,-46.625471664059084
pagerank,0.0,198.42569707688097,7.305037615107869e-13
pagerank,0.05,157.06709747045628,-20.843368684449654
pagerank,0.1,130.92763784693395,-34.016793300614495
pagerank,0.15000000000000002,112.6269295797645,-43.2397460414981
pagerank,0.2,98.52007889229316,-50.34913302881239
pagerank,0.25,87.15947081818862,-56.074504410374374
pagerank,0.30000000000000004,77.30452394571942,-61.04107225801102
pagerank,0.35000000000000003,68.7505129182914,-65.35201139212619
pagerank,0.4,61.14768531803046,-69.18358548371941
pagerank,0.45,54.18051702290809,-72.69480827278333
pagerank,0.5,48.00981229797374,-75.80463971893093
pagerank,0.55,42.81997112960282,-78.4201483172755
random,0.0,122.8746287845299,-3.897515773920155e-12
random,0.05,116.6233328240957,-5.087540057924308
random,0.1,110.789493951275,-9.835337817745458
random,0.15000000000000002,104.88235531784923,-14.64278968299924
random,0.2,98.66230245415292,-19.70490293227172
random,0.25,92.26716729946313,-24.909504743036017
random,0.30000000000000004,86.41051435808187,-29.675869450962107
random,0.35000000000000003,80.38389840714228,-34.580556456371085
random,0.4,74.25031720866548,-39.57229580822074
random,0.45,68.2260522074596,-44.4750695222066
random,0.5,62.35088238526015,-49.25650396503352
random,0.55,56.25617389423141,-54.216607243730735
eigenvector,0.0,122.87462878445771,-6.264938560037235e-11
eigenvector,0.05,106.48644416383097,-13.3373217748971
