method,percentage,value,change
random,0.0,28.83898989806501,6.750885183095247e-12
random,0.05,26.93548022677272,-6.600472755872033
random,0.1,25.507014993514392,-11.55371570337995
random,0.15000000000000002,24.271799486226183,-15.836859848352836
random,0.2,22.979591695097838,-20.317626323516844
random,0.25,21.58250632883621,-25.162058708977963
random,0.30000000000000004,20.23249137344749,-29.843273134866685
random,0.35000000000000003,18.786373413436568,-34.8577274036275
random,0.4,17.07415951502029,-40.794876743699476
random,0.45,16.271551378658724,-43.57794279143049
random,0.5,14.878076748124172,-48.40985485027878
random,0.55,13.59711095339919,-52.851639390073004
eigenvector,0.0,28.83898989806407,3.4986339270055663e-12
eigenvector,0.05,24.51801840001061,-14.983088913050535
eigenvector,0.1,19.01055117536033,-34.08038477576098
eigenvector,0.15000000000000002,16.551107401419213,-42.60857450305203
eigenvector,0.2,15.808241004496894,-45.18448440679042
eigenvector,0.25,15.360429837469862,-46.73728209010008
eigenvector,0.30000000000000004,14.576608345013154,-49.45520492729818
eigenvector,0.35000000000000003,13.121577014441476,-54.500566556518784
eigenvector,0.4,12.141458712238556,-57.89915404403944
eigenvector,0.45,12.057737716914865,-58.18945892510365
eigenvector,0.5,11.893247541945797,-58.75983318422469
eigenvector,0.55,10.442441841055961,-63.790542324933114
pagerank,0.0,28.838989898064884,6.319715508992449e-12
pagerank,0.05,27.315363952930916,-5.28321536405295
pagerank,0.1,24.493978581577377,-15.066447652445389
pagerank,0.15000000000000002,22.16598749438405,-23.138821530386526
pagerank,0.2,19.53512893082711,-32.26139681078371
pagerank,0.25,17.358232552654485,-39.809845580547425
pagerank,0.30000000000000004,15.754371075341991,-45.37127988522193
pagerank,0.35000000000000003,13.6908286075419,-52.526670816367854
pagerank,0.4,11.864269898585402,-58.860313968963766
pagerank,0.45,10.469409723376515,-63.697030442527115
pagerank,0.5,9.09450263052381,-68.46455904776806
pagerank,0.55,8.2027047073101,-71.55689316337316
random,0.0,20.387199138801037,6.656807617673049e-12
random,0.05,19.260981585777632,-5.524140640185828
random,0.1,18.24776330003878,-10.494015505490674
random,0.15000000000000002,17.667522468005256,-13.340119220292996
random,0.2,16.626486428437158,-18.4464412436398
random,0.25,15.711425486644117,-22.93485054186239
random,0.30000000000000004,14.86269843848732,-27.097889527151704
random,0.35000000000000003,13.902684443177838,-31.80679529087891
random,0.4,13.026711448085031,-36.10347669929125
random,0.45,11.901802691347717,-41.62119764309886
random,0.5,11.091621650847083,-45.59516697054191
random,0.55,10.10375231535303,-50.44070425483714
eigenvector,0.0,20.387199138799218,-2.2654057337630796e-12
eigenvector,0.05,19.18671516506882,-5.888420305102986
eigenvector,0.1,19.186715165069476,-5.888420305099762
eigenvector,0.15000000000000002,18.97457680153782,-6.928967180064695
eigenvector,0.2,18.31912577544435,-10.143979804560303
eigenvector,0.25,17.37896790705525,-14.755490498051522
eigenvector,0.30000000000000004,16.613211138744234,-18.511557052842154
eigenvector,0.35000000000000003,15.918114721433039,-21.921031854058615
eigenvector,0.4,14.313549257852996,-29.791487489753717
eigenvector,0.45,13.305455391263619,-34.7362268810065
eigenvector,0.5,12.755216732668458,-37.43516877512859
eigenvector,0.55,12.40792886142724,-39.13862921065394
pagerank,0.0,20.387199138800238,2.7359130784677192e-12
pagerank,0.05,15.058732442308486,-26.13633515920478
pagerank,0.1,13.138608046822316,-35.554619556260114
pagerank,0.15000000000000002,11.462806560261459,-43.77449063885318
pagerank,0.2,10.39322783503576,-49.02081563888784
pagerank,0.25,9.439405311235513,-53.699351995483234
pagerank,0.30000000000000004,8.80492642931109,-56.81149544198993
pagerank,0.35000000000000003,7.94562787433532,-61.02638807694932
pagerank,0.4,7.85669988001287,-61.462583327297395
pagerank,0.45,7.607779346656482,-62.68354816735067
pagerank,0.5,6.475638534184776,-68.23674262414627
pagerank,0.55,5.7787234548599535,-71.65513803285397
random,0.0,14.353464397557694,-3.0444481582216698e-12
random,0.05,13.543287727936097,-5.644467754836003
random,0.1,12.896430471255737,-10.151095832656752
random,0.15000000000000002,12.353401941184341,-13.934353414455458
random,0.2,12.051821498439114,-16.03545203700496
random,0.25,11.566518625516961,-19.41653732401563
random,0.30000000000000004,10.685368513127171,-25.55547415476218
random,0.35000000000000003,10.280528871577587,-28.375975396388956
random,0.4,9.51943224520435,-33.678504495236474
random,0.45,9.0472036974435,-36.9685014930427
random,0.5,8.626968865337512,-39.89626039825503
random,0.55,8.089319829058503,-43.64203926659901
eigenvector,0.0,14.353464397559062,6.4849220931225815e-12
eigenvector,0.05,13.461894726330787,-6.2115294714426
eigenvector,0.1,13.461894726330833,-6.211529471442279
eigenvector,0.15000000000000002,13.461894726331476,-6.211529471437799
eigenvector,0.2,13.461894726330138,-6.211529471447117
eigenvector,0.25,9.260620952779213,-35.48163219497958
eigenvector,0.30000000000000004,9.102346666581438,-36.58432268010526
eigenvector,0.35000000000000003,8.6446823710802,-39.77285112748899
eigenvector,0.4,8.18899313142347,-42.94761944150142
eigenvector,0.45,8.188993131423969,-42.94761944149795
eigenvector,0.5,8.18899313142363,-42.947619441500315
