method,percentage,value,change
random,0.0,2.473666645998591,7.181067999900837e-14
random,0.05,2.188901059316736,-11.511882053408092
random,0.1,2.188901059316736,-11.511882053408092
random,0.15000000000000002,2.1119907362530648,-14.6210448497809
random,0.2,2.0000000000000027,-19.148362078810877
random,0.25,1.9999999999999998,-19.148362078810994
random,0.30000000000000004,1.9999999999999987,-19.148362078811036
random,0.35000000000000003,2.0000000000000013,-19.14836207881093
random,0.4,2.0000000000000004,-19.148362078810965
random,0.45,1.999999999999998,-19.148362078811065
random,0.5,2.000000000000002,-19.148362078810894
random,0.55,1.9999999999999962,-19.148362078811136
eigenvector,0.0,2.4736666459985903,3.5905339999504187e-14
eigenvector,0.05,2.2059461150510984,-10.822821716117513
eigenvector,0.1,2.2059461150510953,-10.82282171611764
eigenvector,0.15000000000000002,2.2059461150510966,-10.822821716117584
eigenvector,0.2,2.205946115051099,-10.822821716117495
eigenvector,0.25,2.2059461150510935,-10.82282171611771
eigenvector,0.30000000000000004,2.205946115051095,-10.822821716117655
eigenvector,0.35000000000000003,1.9999999999999991,-19.148362078811022
eigenvector,0.4,2.0000000000000018,-19.148362078810912
eigenvector,0.45,2.0,-19.148362078810983
eigenvector,0.5,2.0000000000000044,-19.148362078810802
eigenvector,0.55,2.000000000000001,-19.148362078810948
pagerank,0.0,2.473666645998588,-5.385800999925628e-14
pagerank,0.05,2.205946115051098,-10.822821716117529
pagerank,0.1,2.000000000000001,-19.148362078810948
pagerank,0.15000000000000002,2.0000000000000027,-19.148362078810877
pagerank,0.2,1.9999999999999987,-19.148362078811036
pagerank,0.25,1.9999999999999993,-19.148362078811008
pagerank,0.30000000000000004,2.000000000000001,-19.148362078810948
pagerank,0.35000000000000003,1.9999999999999991,-19.148362078811022
pagerank,0.4,2.0000000000000013,-19.14836207881093
pagerank,0.45,2.0000000000000004,-19.148362078810965
pagerank,0.5,2.0000000000000004,-19.148362078810965
pagerank,0.55,2.0,-19.148362078810983
random,0.0,2.0285234880268845,1.094611949211449e-13
random,0.05,2.0285234880268854,1.5324567288960286e-13
random,0.1,2.0000000000000027,-1.4061206683203884
random,0.15000000000000002,1.9999999999999993,-1.4061206683205525
random,0.2,1.9999999999999987,-1.4061206683205854
random,0.25,1.931851652578137,-4.765625639502782
random,0.30000000000000004,1.931851652578136,-4.7656256395028365
random,0.35000000000000003,1.9318516525781348,-4.765625639502891
random,0.4,1.931851652578135,-4.76562563950288
random,0.45,1.931851652578137,-4.765625639502782
random,0.5,1.9318516525781373,-4.765625639502771
random,0.55,1.7320508075688765,-14.615195841108097
eigenvector,0.0,2.028523488026885,1.313534339053739e-13
eigenvector,0.05,2.0000000000000018,-1.4061206683204321
eigenvector,0.1,2.0000000000000004,-1.4061206683204979
eigenvector,0.15000000000000002,1.9999999999999978,-1.406120668320629
eigenvector,0.2,1.9999999999999958,-1.4061206683207277
eigenvector,0.25,2.0000000000000027,-1.4061206683203884
eigenvector,0.30000000000000004,1.6180339887498945,-20.235876079318437
eigenvector,0.35000000000000003,1.6180339887498967,-20.235876079318327
eigenvector,0.4,1.6180339887498938,-20.235876079318466
eigenvector,0.45,1.6180339887498945,-20.235876079318437
eigenvector,0.5,1.6180339887498951,-20.235876079318405
eigenvector,0.55,1.6180339887498951,-20.235876079318405
pagerank,0.0,2.0285234880268828,2.189223898422898e-14
pagerank,0.05,1.9999999999999971,-1.406120668320662
pagerank,0.1,1.999999999999999,-1.4061206683205745
pagerank,0.15000000000000002,2.0000000000000013,-1.4061206683204541
pagerank,0.2,1.9999999999999984,-1.4061206683205962
pagerank,0.25,1.9999999999999982,-1.4061206683206073
pagerank,0.30000000000000004,2.000000000000004,-1.4061206683203227
pagerank,0.35000000000000003,2.0000000000000018,-1.4061206683204321
pagerank,0.4,2.0000000000000018,-1.4061206683204321
pagerank,0.45,2.0,-1.4061206683205196
pagerank,0.5,2.0000000000000018,-1.4061206683204321
pagerank,0.55,2.0000000000000004,-1.4061206683204979
random,0.0,1.732050807568876,-1.28197512425571e-14
random,0.05,1.732050807568873,-1.922962686383565e-13
random,0.1,1.7320508075688745,-1.025580099404568e-13
random,0.15000000000000002,1.7320508075688779,8.97382586978997e-14
random,0.2,1.7320508075688792,1.666567661532423e-13
random,0.25,1.7320508075688776,7.69185074553426e-14
random,0.30000000000000004,1.4142135623731003,-18.350341907227047
random,0.35000000000000003,1.414213562373097,-18.350341907227243
random,0.4,1.4142135623730958,-18.350341907227307
random,0.45,1.4142135623730898,-18.35034190722765
random,0.5,1.4142135623730943,-18.350341907227396
random,0.55,1.0000000000000009,-42.26497308103734
eigenvector,0.0,1.7320508075688743,-1.153777611830139e-13
eigenvector,0.05,1.4142135623730974,-18.350341907227218
eigenvector,0.1,1.4142135623730965,-18.350341907227268
eigenvector,0.15000000000000002,1.414213562373095,-18.350341907227357
eigenvector,0.2,1.4142135623730936,-18.350341907227435
eigenvector,0.25,1.4142135623730974,-18.350341907227218
eigenvector,0.30000000000000004,1.414213562373097,-18.350341907227243
eigenvector,0.35000000000000003,1.4142135623730965,-18.350341907227268
eigenvector,0.4,1.4142135623731003,-18.350341907227047
eigenvector,0.45,1.414213562373095,-18.350341907227357
eigenvector,0.5,1.4142135623730954,-18.35034190722733
eigenvector,0.55,1.4142135623730958,-18.350341907227307
pagerank,0.0,1.732050807568876,-1.28197512425571e-14
pagerank,0.05,1.4142135623730967,-18.350341907227254
pagerank,0.1,1.4142135623730971,-18.35034190722723
pagerank,0.15000000000000002,1.4142135623731025,-18.350341907226923
pagerank,0.2,1.4142135623730883,-18.35034190722774
pagerank,0.25,1.0000000000000009,-42.26497308103734
pagerank,0.30000000000000004,1.0000000000000002,-42.26497308103738
pagerank,0.35000000000000003,1.0000000000000009,-42.26497308103734
pagerank,0.4,1.0000000000000002,-42.26497308103738
pagerank,0.45,1.0000000000000002,-42.26497308103738
pagerank,0.5,1.0000000000000007,-42.264973081037354
pagerank,0.55,1.0000000000000009,-42.26497308103734
random,0.0,2.5141369293352924,1.5897315862216289e-13
random,0.05,2.2360679774997907,-11.060215081802099
random,0.1,2.2360679774997867,-11.060215081802259
random,0.15000000000000002,2.000000000000002,-20.449838007479517
random,0.2,2.0000000000000044,-20.449838007479425
random,0.25,1.9999999999999984,-20.449838007479666
random,0.30000000000000004,2.0000000000000004,-20.449838007479585
random,0.35000000000000003,1.9999999999999962,-20.44983800747975
random,0.4,2.000000000000006,-20.449838007479357
random,0.45,2.000000000000003,-20.449838007479478
random,0.5,1.9999999999999996,-20.44983800747962
random,0.55,1.7320508075688783,-31.107538839309978
eigenvector,0.0,2.5141369293352898,5.29910528740543e-14
eigenvector,0.05,2.0743132930519415,-17.49402075723981
eigenvector,0.1,2.0743132930519446,-17.494020757239685
eigenvector,0.15000000000000002,1.732050807568879,-31.10753883930995
eigenvector,0.2,1.7320508075688783,-31.107538839309978
eigenvector,0.25,1.7320508075688787,-31.10753883930996
eigenvector,0.30000000000000004,1.7320508075688756,-31.107538839310084
eigenvector,0.35000000000000003,1.7320508075688794,-31.10753883930993
eigenvector,0.4,1.7320508075688799,-31.107538839309917
eigenvector,0.45,1.732050807568878,-31.10753883930999
eigenvector,0.5,1.732050807568875,-31.10753883931011
eigenvector,0.55,1.7320508075688754,-31.10753883931009
pagerank,0.0,2.5141369293352906,8.831842145675716e-14
pagerank,0.05,2.0743132930519423,-17.494020757239777
pagerank,0.1,2.074313293051943,-17.49402075723976
pagerank,0.15000000000000002,1.7320508075688823,-31.10753883930982
pagerank,0.2,1.7320508075688763,-31.107538839310056
pagerank,0.25,1.7320508075688765,-31.107538839310052
pagerank,0.30000000000000004,1.7320508075688799,-31.107538839309917
pagerank,0.35000000000000003,1.732050807568876,-31.10753883931007
pagerank,0.4,1.7320508075688765,-31.107538839310052
pagerank,0.45,1.4142135623730927,-43.74954101060056
pagerank,0.5,1.4142135623730951,-43.74954101060047
pagerank,0.55,1.0000000000000007,-60.22491900373978
random,0.0,2.3429230827771708,3.790898754761203e-14
random,0.05,2.3429230827771708,3.790898754761203e-14
random,0.1,2.34292308277717,0.0
random,0.15000000000000002,2.3429230827771708,3.790898754761203e-14
random,0.2,1.8477590650225715,-21.134454707222343
random,0.25,1.8477590650225721,-21.13445470722231
random,0.30000000000000004,1.7320508075688796,-26.07308279553917
random,0.35000000000000003,1.7320508075688776,-26.073082795539257
random,0.4,1.7320508075688787,-26.073082795539207
random,0.45,1.7320508075688787,-26.073082795539207
random,0.5,1.7320508075688783,-26.07308279553923
random,0.55,1.7320508075688772,-26.073082795539275
eigenvector,0.0,2.342923082777169,-3.790898754761203e-14
eigenvector,0.05,2.0,-14.636548903290842
eigenvector,0.1,2.0,-14.636548903290842
eigenvector,0.15000000000000002,2.0000000000000044,-14.636548903290654
eigenvector,0.2,2.0000000000000018,-14.63654890329077
eigenvector,0.25,1.9999999999999964,-14.636548903290993
eigenvector,0.30000000000000004,2.0000000000000004,-14.636548903290823
eigenvector,0.35000000000000003,1.9999999999999984,-14.636548903290908
eigenvector,0.4,2.0000000000000004,-14.636548903290823
eigenvector,0.45,1.9999999999999998,-14.636548903290853
eigenvector,0.5,1.999999999999999,-14.63654890329089
eigenvector,0.55,2.0000000000000018,-14.63654890329077
pagerank,0.0,2.3429230827771694,-1.8954493773806015e-14
pagerank,0.05,2.0000000000000018,-14.63654890329077
pagerank,0.1,2.000000000000001,-14.636548903290805
